iter	Passed	Remaining
212	3114	11505
213	3128	11489
214	3142	11472
215	3156	11456
216	3170	11439
217	3184	11423
218	3198	11408
219	3212	11390
220	3226	11374
221	3241	11358
222	3255	11344
223	3269	11327
224	3283	11309
225	3297	11292
226	3311	11277
227	3325	11259
228	3340	11245
229	3353	11227
230	3368	11212
231	3382	11198
232	3396	11182
233	3411	11167
234	3426	11153
235	3440	11138
236	3455	11123
237	3470	11110
238	3485	11097
239	3500	11085
240	3515	11070
241	3530	11056
242	3544	11041
243	3558	11026
244	3573	11011
245	3587	10994
246	3601	10979
247	3615	10962
248	3628	10944
249	3643	10929
250	3657	10913
251	3670	10895
252	3685	10881
253	3699	10866
254	3713	10848
255	3726	10829
256	3739	10811
257	3753	10793
258	3766	10776
259	3780	10760
260	3793	10741
261	3807	10724
262	3821	10708
263	3835	10692
264	3849	10676
265	3864	10663
266	3880	10652
267	3895	10639
268	3909	10623
269	3925	10612
270	3941	10603
271	3956	10590
272	3971	10575
273	3985	10559
274	3999	10543
275	4013	10527
276	4027	10511
277	4041	10495
278	4054	10478
279	4068	10461
280	4082	10445
281	4096	10430
282	4110	10413
283	4124	10399
284	4138	10383
285	4153	10368
286	4166	10351
287	4183	10341
288	4200	10333
289	4215	10320
290	4230	10307
291	4246	10296
292	4267	10296
293	4287	10296
294	4305	10288
295	4319	10274
296	4333	10258
297	4348	10242
298	4362	10227
299	4375	10210
300	4390	10195
301	4404	10180
302	4418	10164
303	4432	10149
304	4446	10132
305	4460	10115
306	4475	10102
307	4491	10091
308	4506	10076
309	4520	10062
310	4534	10045
311	4547	10028
312	4561	10012
313	4574	9994
314	4588	9977
315	4604	9967
316	4623	9961
317	4637	9945
318	4650	9927
319	4663	9910
320	4676	9892
321	4690	9877
322	4704	9860
323	4718	9844
324	4732	9828
325	4748	9816
326	4762	9802
327	4776	9785
328	4790	9771
329	4804	9754
330	4818	9739
331	4832	9722
332	4845	9706
333	4859	9690
334	4874	9676
335	4888	9661
336	4902	9645
337	4916	9629
338	4929	9611
339	4943	9596
340	4959	9583
341	4972	9567
342	4986	9550
343	4999	9534
344	5013	9518
345	5027	9503
346	5041	9487
347	5055	9470
348	5068	9455
349	5083	9440
350	5096	9423
351	5110	9407
352	5124	9392
353	5138	9376
354	5152	9360
355	5165	9344
356	5179	9328
357	5193	9312
358	5208	9299
359	5221	9283
360	5235	9266
361	5248	9250
362	5263	9236
363	5277	9220
364	5291	9205
365	5306	9191
366	5319	9175
367	5334	9161
368	5348	9145
369	5362	9129
370	5375	9114
371	5389	9098
372	5403	9082
373	5416	9066
374	5430	9051
375	5444	9034
376	5457	9019
377	5471	9002
378	5484	8986
379	5498	8971
380	5512	8955
381	5525	8939
382	5539	8923
383	5553	8908
384	5567	8892
385	5581	8878
386	5595	8862
387	5609	8847
388	5622	8830
389	5635	8814
390	5650	8800
391	5665	8787
392	5680	8774
393	5696	8761
394	5711	8747
395	5724	8731
396	5739	8718
397	5754	8703
398	5768	8689
399	5783	8675
400	5798	8661
401	5813	8647
402	5827	8632
403	5840	8616
404	5855	8602
405	5870	8588
406	5883	8572
407	5898	8558
408	5913	8544
409	5928	8530
410	5942	8515
411	5958	8503
412	5974	8491
413	5989	8478
414	6005	8464
415	6019	8450
416	6035	8438
417	6051	8425
418	6067	8412
419	6082	8399
420	6097	8385
421	6110	8369
422	6125	8355
423	6139	8339
424	6156	8329
425	6172	8316
426	6186	8301
427	6200	8286
428	6214	8271
429	6228	8256
430	6242	8241
431	6256	8226
432	6271	8212
433	6285	8197
434	6299	8182
435	6313	8167
436	6327	8151
437	6340	8135
438	6354	8120
439	6369	8106
440	6383	8091
441	6397	8076
442	6411	8061
443	6425	8045
444	6441	8033
445	6454	8017
446	6469	8003
447	6483	7989
448	6497	7974
449	6512	7959
450	6527	7945
451	6541	7930
452	6555	7915
453	6569	7900
454	6584	7886
455	6598	7871
456	6612	7856
457	6627	7842
458	6641	7827
459	6655	7813
460	6670	7799
461	6684	7784
462	6699	7769
463	6712	7753
464	6726	7739
465	6739	7723
466	6753	7708
467	6768	7694
468	6782	7679
469	6796	7664
470	6810	7649
471	6825	7634
472	6839	7619
473	6853	7605
474	6868	7590
475	6882	7576
476	6896	7561
477	6910	7547
478	6924	7531
479	6938	7516
480	6953	7502
481	6969	7490
482	6982	7474
483	6996	7459
484	7010	7443
485	7023	7428
486	7036	7412
487	7050	7397
488	7064	7382
489	7078	7366
490	7093	7353
491	7107	7338
492	7121	7323
493	7135	7308
494	7149	7294
495	7163	7278
496	7176	7263
497	7191	7249
498	7206	7235
499	7221	7221
500	7235	7206
501	7249	7191
502	7263	7176
503	7277	7161
504	7291	7146
505	7305	7131
506	7320	7118
507	7334	7103
508	7347	7087
509	7360	7071
510	7374	7056
511	7388	7041
512	7401	7026
513	7415	7011
514	7428	6995
515	7442	6981
516	7456	6966
517	7470	6951
518	7484	6936
519	7499	6922
520	7512	6907
521	7526	6892
522	7541	6877
523	7555	6863
524	7570	6849
525	7584	6835
526	7598	6820
527	7612	6805
528	7627	6790
529	7641	6776
530	7655	6761
531	7668	6746
532	7682	6731
533	7701	6720
534	7717	6707
535	7731	6693
536	7746	6678
537	7760	6664
538	7774	6649
539	7788	6634
540	7803	6620
541	7817	6606
542	7831	6591
543	7845	6576
544	7858	6561
545	7872	6545
546	7886	6530
547	7899	6515
548	7913	6501
549	7927	6486
550	7940	6470
551	7954	6456
552	7969	6441
553	7983	6426
554	7997	6412
555	8010	6396
556	8024	6381
557	8038	6367
558	8053	6353
559	8068	6339
560	8082	6324
561	8096	6309
562	8110	6295
563	8124	6280
564	8138	6265
565	8152	6250
566	8165	6236
567	8179	6221
568	8193	6206
569	8206	6190
570	8220	6176
571	8233	6161
572	8247	6145
573	8261	6131
574	8275	6116
575	8289	6102
576	8303	6087
577	8318	6073
578	8331	6058
579	8345	6043
580	8358	6028
581	8372	6013
582	8386	5998
583	8400	5983
584	8415	5970
585	8429	5955
586	8444	5941
587	8458	5926
588	8472	5911
589	8486	5897
590	8500	5882
591	8514	5867
592	8528	5853
593	8542	5838
594	8556	5824
595	8570	5809
596	8585	5795
597	8599	5781
598	8614	5766
599	8628	5752
600	8642	5737
601	8655	5722
602	8669	5707
603	8682	5692
604	8696	5677
605	8709	5662
606	8724	5648
607	8738	5633
608	8752	5619
609	8765	5604
610	8779	5589
611	8792	5574
612	8806	5559
613	8819	5544
614	8833	5529
615	8847	5515
616	8860	5500
617	8874	5485
618	8888	5471
619	8902	5456
620	8915	5441
621	8929	5426
622	8942	5411
623	8956	5396
624	8972	5383
625	8986	5368
626	9000	5354
627	9015	5340
628	9029	5325
629	9043	5311
630	9058	5297
631	9072	5282
632	9086	5268
633	9100	5253
634	9114	5238
635	9127	5224
636	9141	5209
637	9155	5194
638	9169	5180
639	9182	5165
640	9196	5150
641	9210	5136
642	9225	5122
643	9242	5109
644	9257	5094
645	9274	5082
646	9288	5067
647	9302	5052
648	9316	5038
649	9329	5023
650	9343	5009
651	9359	4995
652	9373	4980
653	9387	4966
654	9401	4951
655	9415	4937
656	9429	4922
657	9444	4908
658	9457	4893
659	9471	4879
660	9488	4866
661	9503	4852
662	9518	4838
663	9533	4824
664	9546	4809
665	9560	4794
666	9574	4779
667	9588	4765
668	9602	4750
669	9616	4736
670	9630	4721
671	9643	4706
672	9656	4691
673	9670	4677
674	9684	4663
675	9698	4648
676	9711	4633
677	9724	4618
678	9738	4603
679	9751	4589
680	9765	4574
681	9778	4559
682	9791	4544
683	9804	4529
684	9817	4514
685	9830	4499
686	9844	4485
687	9858	4470
688	9871	4455
689	9885	4441
690	9898	4426
691	9912	4411
692	9925	4397
693	9939	4382
694	9953	4368
695	9966	4353
696	9981	4339
697	9994	4324
698	10008	4309
699	10021	4294
700	10035	4280
701	10048	4265
702	10062	4251
703	10075	4236
704	10089	4221
705	10103	4207
706	10116	4192
707	10130	4178
708	10144	4163
709	10158	4149
710	10171	4134
711	10185	4120
712	10199	4105
713	10214	4091
714	10228	4076
715	10241	4062
716	10255	4047
717	10270	4033
718	10284	4019
719	10299	4005
720	10313	3990
721	10326	3976
722	10339	3961
723	10353	3946
724	10367	3932
725	10380	3917
726	10394	3903
727	10408	3888
728	10422	3874
729	10435	3859
730	10449	3845
731	10463	3830
732	10477	3816
733	10490	3801
734	10504	3787
735	10518	3772
736	10531	3758
737	10545	3743
738	10560	3729
739	10573	3714
740	10586	3700
741	10600	3685
742	10613	3671
743	10627	3656
744	10641	3642
745	10655	3628
746	10668	3613
747	10682	3599
748	10696	3584
749	10710	3570
750	10723	3555
751	10737	3540
752	10750	3526
753	10764	3511
754	10786	3500
755	10800	3486
756	10814	3471
757	10827	3456
758	10841	3442
759	10855	3427
760	10868	3413
761	10882	3398
762	10896	3384
763	10909	3370
764	10924	3356
765	10940	3341
766	10954	3327
767	10969	3313
768	10983	3299
769	10998	3285
770	11012	3270
771	11025	3256
772	11039	3241
773	11053	3227
774	11066	3212
775	11079	3198
776	11093	3183
777	11107	3169
778	11122	3155
779	11136	3141
780	11151	3126
781	11164	3112
782	11178	3098
783	11192	3083
784	11206	3069
785	11219	3054
786	11232	3040
787	11246	3025
788	11260	3011
789	11275	2997
790	11289	2982
791	11302	2968
792	11315	2953
793	11329	2939
794	11342	2924
795	11356	2910
796	11370	2896
797	11382	2881
798	11395	2866
799	11409	2852
800	11422	2837
801	11436	2823
802	11450	2809
803	11464	2794
804	11477	2780
805	11490	2765
806	11504	2751
807	11519	2737
808	11533	2723
809	11548	2708
810	11562	2694
811	11576	2680
812	11591	2666
813	11605	2651
814	11618	2637
815	11632	2623
816	11647	2608
817	11660	2594
818	11674	2580
819	11687	2565
820	11701	2551
821	11715	2536
822	11729	2522
823	11742	2508
824	11756	2493
825	11770	2479
826	11784	2465
827	11797	2450
828	11812	2436
829	11826	2422
830	11839	2407
831	11853	2393
832	11867	2379
833	11881	2364
834	11895	2350
835	11909	2336
836	11924	2322
837	11938	2307
838	11952	2293
839	11966	2279
840	11983	2265
841	11998	2251
842	12012	2237
843	12025	2222
844	12040	2208
845	12053	2194
846	12066	2179
847	12081	2165
848	12094	2151
849	12108	2136
850	12121	2122
851	12135	2107
852	12148	2093
853	12161	2079
854	12174	2064
855	12189	2050
856	12202	2036
857	12215	2021
858	12228	2007
859	12241	1992
860	12255	1978
861	12269	1964
862	12283	1950
863	12297	1935
864	12312	1921
865	12329	1907
866	12345	1893
867	12359	1879
868	12373	1865
869	12387	1850
870	12401	1836
871	12415	1822
872	12429	1808
873	12444	1794
874	12458	1779
875	12473	1765
876	12487	1751
877	12500	1736
878	12515	1722
879	12529	1708
880	12543	1694
881	12558	1680
882	12572	1665
883	12586	1651
884	12600	1637
885	12614	1623
886	12627	1608
887	12640	1594
888	12653	1579
889	12667	1565
890	12682	1551
891	12698	1537
892	12716	1523
893	12743	1510
894	12765	1497
895	12781	1483
896	12799	1469
897	12815	1455
898	12829	1441
899	12842	1426
900	12857	1412
901	12871	1398
902	12886	1384
903	12900	1369
904	12914	1355
905	12928	1341
906	12942	1327
907	12956	1312
908	12969	1298
909	12984	1284
910	13000	1270
911	13014	1255
912	13028	1241
913	13042	1227
914	13055	1212
915	13069	1198
916	13083	1184
917	13097	1169
918	13110	1155
919	13124	1141
920	13139	1127
921	13154	1112
922	13169	1098
923	13184	1084
924	13198	1070
925	13212	1055
926	13227	1041
927	13241	1027
928	13256	1013
929	13271	998
930	13288	984
931	13305	970
932	13320	956
933	13335	942
934	13350	928
935	13366	913
936	13381	899
937	13395	885
938	13410	871
939	13426	857
940	13440	842
941	13454	828
942	13469	814
943	13483	799
944	13497	785
945	13512	771
946	13526	757
947	13540	742
948	13555	728
949	13570	714
950	13584	699
951	13597	685
952	13611	671
953	13624	656
954	13638	642
955	13651	628
956	13665	614
957	13678	599
958	13691	585
959	13706	571
960	13721	556
961	13734	542
962	13747	528
963	13761	513
964	13775	499
965	13788	485
966	13802	471
967	13815	456
968	13828	442
969	13842	428
970	13857	413
971	13875	399
972	13888	385
973	13902	371
974	13915	356
975	13928	342
976	13941	328
977	13955	313
978	13969	299
979	13983	285
980	13999	271
981	14014	256
982	14027	242
983	14041	228
984	14056	214
985	14068	199
986	14081	185
987	14094	171
988	14108	156
989	14121	142
990	14134	128
991	14148	114
992	14162	99
993	14175	85
994	14189	71
995	14203	57
996	14216	42
997	14229	28
998	14243	14
999	14256	0
